club,date,opponent,homeAway,goalsFor,goalsAgainst,competition
Hamburger SV,2026-08-30,Union Berlin,A,0,2,Bundesliga
Hamburger SV,2026-08-23,SC Freiburg,H,1,1,Bundesliga
Hamburger SV,2026-08-16,VfL Wolfsburg,A,0,3,Bundesliga
Hamburger SV,2026-08-09,1. FC Köln,H,2,2,Bundesliga
Hamburger SV,2026-08-02,Mainz 05,A,1,2,Bundesliga
Hamburger SV,2026-07-26,Werder Bremen,H,0,1,Bundesliga
FC Bayern München,2026-08-30,RB Leipzig,H,3,1,Bundesliga
FC Bayern München,2026-08-23,Bayer 04 Leverkusen,A,2,1,Bundesliga
FC Bayern München,2026-08-16,Borussia Dortmund,H,4,0,Bundesliga
FC Bayern München,2026-08-09,VfB Stuttgart,A,3,2,Bundesliga
FC Bayern München,2026-08-02,Eintracht Frankfurt,H,2,0,Bundesliga
FC Bayern München,2026-07-26,Borussia Mönchengladbach,A,1,1,Bundesliga
Borussia Dortmund,2026-08-30,Bayer 04 Leverkusen,H,1,1,Bundesliga
Borussia Dortmund,2026-08-23,RB Leipzig,A,2,3,Bundesliga
Borussia Dortmund,2026-08-16,VfB Stuttgart,H,3,0,Bundesliga
Borussia Dortmund,2026-08-09,Eintracht Frankfurt,A,1,1,Bundesliga
Borussia Dortmund,2026-08-02,1. FC Union Berlin,H,2,2,Bundesliga
Borussia Dortmund,2026-07-26,SC Freiburg,A,0,1,Bundesliga
RB Leipzig,2026-08-30,FC Bayern München,A,1,3,Bundesliga
RB Leipzig,2026-08-23,Borussia Dortmund,H,3,2,Bundesliga
RB Leipzig,2026-08-16,Bayer 04 Leverkusen,A,2,2,Bundesliga
RB Leipzig,2026-08-09,VfL Wolfsburg,H,4,0,Bundesliga
RB Leipzig,2026-08-02,Mainz 05,A,2,1,Bundesliga
RB Leipzig,2026-07-26,Werder Bremen,H,3,0,Bundesliga
Bayer 04 Leverkusen,2026-08-30,Borussia Dortmund,A,1,1,Bundesliga
Bayer 04 Leverkusen,2026-08-23,FC Bayern München,H,1,2,Bundesliga
Bayer 04 Leverkusen,2026-08-16,RB Leipzig,H,2,2,Bundesliga
Bayer 04 Leverkusen,2026-08-09,SC Freiburg,A,0,0,Bundesliga
Bayer 04 Leverkusen,2026-08-02,VfB Stuttgart,H,0,1,Bundesliga
Bayer 04 Leverkusen,2026-07-26,1. FC Köln,A,1,0,Bundesliga
