club,name,position,age,marketValueMEUR,appearances,goals,assists,minutesPlayed,yellowCards,redCards,rating
Hamburger SV,J. Reimann,Torwart,29,3.0,6,0,0,540,0,0,6.3
Hamburger SV,T. Wagner,Innenverteidiger,27,5.5,6,0,0,540,2,0,6.1
Hamburger SV,D. Sommer,Innenverteidiger,31,3.5,6,0,1,540,3,0,5.9
Hamburger SV,K. Nowak,Linksverteidiger,24,6.0,6,0,1,520,1,0,6.2
Hamburger SV,F. Bauer,Rechtsverteidiger,26,4.5,5,0,0,430,2,1,5.8
Hamburger SV,S. Krause,Defensives Mittelfeld,25,7.0,6,0,2,540,3,0,6.4
Hamburger SV,M. Hoffmann,Zentrales Mittelfeld,23,9.0,6,1,2,520,1,0,6.6
Hamburger SV,L. Schreiber,Offensives Mittelfeld,22,8.0,6,2,1,480,0,0,6.5
Hamburger SV,P. Vogel,Linksaußen,21,6.5,6,1,1,460,1,0,6.3
Hamburger SV,R. Albrecht,Mittelstürmer,28,7.5,6,2,0,500,1,0,6.4
FC Bayern München,A. Brandt,Torwart,30,18.0,6,0,0,540,0,0,7.4
FC Bayern München,N. Ziegler,Innenverteidiger,26,45.0,6,1,0,540,1,0,7.6
FC Bayern München,O. Frei,Innenverteidiger,29,30.0,6,0,0,540,2,0,7.3
FC Bayern München,H. Berger,Linksverteidiger,24,35.0,6,0,2,540,1,0,7.5
FC Bayern München,C. Lang,Rechtsverteidiger,27,28.0,6,0,1,540,0,0,7.2
FC Bayern München,E. Winter,Defensives Mittelfeld,28,40.0,6,1,1,540,2,0,7.7
FC Bayern München,G. Fuchs,Zentrales Mittelfeld,25,55.0,6,3,4,540,1,0,8.1
FC Bayern München,B. Schuster,Offensives Mittelfeld,23,60.0,6,4,3,510,0,0,8.2
FC Bayern München,V. Roth,Linksaußen,22,50.0,6,5,2,520,0,0,8.0
FC Bayern München,W. Krieger,Mittelstürmer,26,70.0,6,6,2,530,1,0,8.3
Borussia Dortmund,F. Lindner,Torwart,27,12.0,6,0,0,540,1,0,6.8
Borussia Dortmund,J. Hartmann,Innenverteidiger,25,22.0,6,0,0,540,2,0,6.9
Borussia Dortmund,K. Sander,Innenverteidiger,30,15.0,6,0,0,540,3,1,6.5
Borussia Dortmund,M. Reuter,Linksverteidiger,23,18.0,6,0,2,520,1,0,7.0
Borussia Dortmund,T. Pohl,Rechtsverteidiger,26,16.0,6,0,1,540,2,0,6.7
Borussia Dortmund,A. Kranz,Defensives Mittelfeld,24,20.0,6,1,1,540,2,0,7.1
Borussia Dortmund,S. Weidner,Zentrales Mittelfeld,22,28.0,6,2,3,510,1,0,7.3
Borussia Dortmund,D. Falk,Offensives Mittelfeld,21,32.0,6,3,2,480,0,0,7.4
Borussia Dortmund,R. Busch,Linksaußen,24,26.0,6,3,1,500,1,0,7.2
Borussia Dortmund,L. Brandner,Mittelstürmer,27,24.0,6,4,1,520,1,0,7.3
RB Leipzig,P. Schindler,Torwart,26,16.0,6,0,0,540,0,0,7.2
RB Leipzig,M. Voss,Innenverteidiger,25,24.0,6,1,0,540,1,0,7.3
RB Leipzig,T. Engel,Innenverteidiger,28,18.0,6,0,0,540,2,0,7.0
RB Leipzig,J. Kluge,Linksverteidiger,23,22.0,6,0,3,540,1,0,7.4
RB Leipzig,N. Brandt,Rechtsverteidiger,24,20.0,6,0,1,520,1,0,7.1
RB Leipzig,O. Stark,Defensives Mittelfeld,27,26.0,6,1,2,540,2,0,7.5
RB Leipzig,F. Lehmann,Zentrales Mittelfeld,22,34.0,6,2,3,530,0,0,7.6
RB Leipzig,C. Rieger,Offensives Mittelfeld,21,38.0,6,4,3,500,1,0,7.8
RB Leipzig,B. Kessler,Linksaußen,23,30.0,6,4,2,510,0,0,7.7
RB Leipzig,H. Winkler,Mittelstürmer,25,36.0,6,5,1,520,1,0,7.9
Bayer 04 Leverkusen,A. Peters,Torwart,29,14.0,6,0,0,540,1,0,6.9
Bayer 04 Leverkusen,S. Bergmann,Innenverteidiger,28,20.0,6,0,0,540,2,0,7.0
Bayer 04 Leverkusen,L. Thiel,Innenverteidiger,31,12.0,6,0,0,540,3,0,6.6
Bayer 04 Leverkusen,D. Wolf,Linksverteidiger,24,16.0,6,0,1,520,1,0,6.8
Bayer 04 Leverkusen,M. Krebs,Rechtsverteidiger,26,14.0,6,0,0,540,2,0,6.5
Bayer 04 Leverkusen,J. Herrmann,Defensives Mittelfeld,27,18.0,6,0,1,540,3,1,6.7
Bayer 04 Leverkusen,R. Kaiser,Zentrales Mittelfeld,25,22.0,6,1,1,510,1,0,6.9
Bayer 04 Leverkusen,T. Gruber,Offensives Mittelfeld,22,19.0,6,1,1,460,1,0,6.6
Bayer 04 Leverkusen,V. Baumann,Linksaußen,23,17.0,6,1,0,440,0,0,6.4
Bayer 04 Leverkusen,K. Adler,Mittelstürmer,29,15.0,6,1,0,470,1,0,6.3
